municipality,country,iso3c,year,measurement_name,measurement_value,measurement_unit,original_variable_name
Rishikesh,India,IND,2021,policy_and_legal_aspects_legal_and_institutional_framework_score_1_7,4.0,Score 1-7,q_14_1
Rishikesh,India,IND,2021,policy_and_legal_aspects_national_targets_and_objectives_score_1_7,4.0,Score 1-7,q_14_2
Rishikesh,India,IND,2021,policy_and_legal_aspects_local_enforcement_score_1_7,3.0,Score 1-7,q_14_3
Rishikesh,India,IND,2021,reliability_score_reliability_score,0.66,Score 0-1,q_14_reliability
Rishikesh,India,IND,2021,solid_waste_management_and_administration_institutional_capacity_and_responsibilities_score_1_7,7.0,Score 1-7,q_15_1
Rishikesh,India,IND,2021,solid_waste_management_and_administration_financial_management_score_1_7,2.0,Score 1-7,q_15_2
Rishikesh,India,IND,2021,solid_waste_management_and_administration_human_resources_score_1_7,1.0,Score 1-7,q_15_3
Rishikesh,India,IND,2021,solid_waste_management_and_administration_monitoring_and_data_management_score_1_7,1.0,Score 1-7,q_15_4
Rishikesh,India,IND,2021,solid_waste_management_and_administration_emergency_response_planning_score_1_7,2.0,Score 1-7,q_15_5
Rishikesh,India,IND,2021,solid_waste_management_and_administration_stakeholder_consultation_score_1_7,2.0,Score 1-7,q_15_6
Rishikesh,India,IND,2021,reliability_score_reliability_score,1.0,Score 0-1,q_15_reliability
Rishikesh,India,IND,2021,health_and_safety_aspects_worker_health_and_safety_score_1_7,3.0,Score 1-7,q_16_1
Rishikesh,India,IND,2021,health_and_safety_aspects_public_health_and_safety_score_1_7,1.0,Score 1-7,q_16_2
Rishikesh,India,IND,2021,reliability_score_reliability_score,1.0,Score 0-1,q_16_reliability
Rishikesh,India,IND,2021,environmental_aspects_air_and_odour_pollution_control_score_1_7,5.0,Score 1-7,q_17_1
Rishikesh,India,IND,2021,environmental_aspects_water_and_soil_pollution_control_score_1_7,4.0,Score 1-7,q_17_2
Rishikesh,India,IND,2021,environmental_aspects_noise_pollution_control_score_1_7,5.0,Score 1-7,q_17_3
Rishikesh,India,IND,2021,environmental_aspects_visual_impact_control_score_1_7,5.0,Score 1-7,q_17_4
Rishikesh,India,IND,2021,reliability_score_reliability_score,0.66,Score 0-1,q_17_reliability
Rishikesh,India,IND,2021,climate_change_and_resilience_waste_prevention_and_reduction_measures_score_1_7,3.0,Score 1-7,q_18_1
Rishikesh,India,IND,2021,climate_change_and_resilience_ghg_emission_reduction_measures_score_1_7,4.0,Score 1-7,q_18_2
Rishikesh,India,IND,2021,climate_change_and_resilience_resource_recovery_measures_score_1_7,3.0,Score 1-7,q_18_3
Rishikesh,India,IND,2021,reliability_score_reliability_score,0.66,Score 0-1,q_18_reliability
Rishikesh,India,IND,2021,extreme_weather_events_heavy_rainfall_flood_resilience_score_1_7,7.0,Score 1-7,q_19_1
Rishikesh,India,IND,2021,extreme_weather_events_drought_resilience_score_1_7,5.0,Score 1-7,q_19_2
Rishikesh,India,IND,2021,extreme_weather_events_high_wind_speed_resilience_score_1_7,5.0,Score 1-7,q_19_3
Rishikesh,India,IND,2021,extreme_weather_events_heat_wave_resilience_score_1_7,5.0,Score 1-7,q_19_4
Rishikesh,India,IND,2021,reliability_score_reliability_score,0.33,Score 0-1,q_19_reliability
Rishikesh,India,IND,2021,chronic_climate_change_impacts_sea_level_rise_resilience_score_1_7,7.0,Score 1-7,q_20_1
Rishikesh,India,IND,2021,chronic_climate_change_impacts_changes_in_precipitation_patterns_score_1_7,5.0,Score 1-7,q_20_2
Rishikesh,India,IND,2021,chronic_climate_change_impacts_changes_in_temperature_patterns_score_1_7,5.0,Score 1-7,q_20_3
Rishikesh,India,IND,2021,chronic_climate_change_impacts_water_scarcity_resilience_score_1_7,5.0,Score 1-7,q_20_4
Rishikesh,India,IND,2021,reliability_score_reliability_score,0.33,Score 0-1,q_20_reliability
Rishikesh,India,IND,2021,circular_economy_waste_hierarchy_implementation_score_1_7,3.0,Score 1-7,q_21_1
Rishikesh,India,IND,2021,circular_economy_circular_business_models_score_1_7,2.0,Score 1-7,q_21_2
Rishikesh,India,IND,2021,circular_economy_product_design_and_material_choice_score_1_7,2.0,Score 1-7,q_21_3
Rishikesh,India,IND,2021,reliability_score_reliability_score,0.66,Score 0-1,q_21_reliability
Haridwar,India,IND,2021,total_population_served_by_the_msw_management_system,251197.0,Number,q_1
Haridwar,India,IND,2021,reliability_score_reliability_score,0.66,Score 0-1,q_1_reliability
Haridwar,India,IND,2021,average_msw_generation_rate_kg_per_capita_per_day,0.91,kg/cap/day,q_2
Haridwar,India,IND,2021,waste_composition_percentage_of_food_and_organic_waste_percent,5.0,%,q_3_1
Haridwar,India,IND,2021,waste_composition_percentage_of_paper_and_cardboard_percent,7.0,%,q_3_2
Haridwar,India,IND,2021,waste_composition_percentage_of_plastic_percent,1.0,%,q_3_3
Haridwar,India,IND,2021,waste_composition_percentage_of_glass_percent,1.0,%,q_3_4
Haridwar,India,IND,2021,waste_composition_percentage_of_metal_percent,8.0,%,q_3_5
Haridwar,India,IND,2021,waste_composition_percentage_of_other_waste_percent,78.0,%,q_3_6
Haridwar,India,IND,2021,reliability_score_reliability_score,0.66,Score 0-1,q_3_reliability
Haridwar,India,IND,2021,amount_of_waste_generated_food_and_organic_tonnes_per_day,5.71473,t/d,q_4_1
Haridwar,India,IND,2021,amount_of_waste_generated_paper_and_cardboard_tonnes_per_day,11.5209,t/d,q_4_2
Haridwar,India,IND,2021,amount_of_waste_generated_plastic_tonnes_per_day,1.14295,t/d,q_4_3
Haridwar,India,IND,2021,amount_of_waste_generated_glass_tonnes_per_day,1.14295,t/d,q_4_4
Haridwar,India,IND,2021,amount_of_waste_generated_metal_tonnes_per_day,18.2871,t/d,q_4_5
Haridwar,India,IND,2021,amount_of_waste_generated_other_waste_tonnes_per_day,178.3,t/d,q_4_6
